word,definition,theme,target_code,link,reason
밤이 깊어 갈수록 새벽이 가까와 온다,어렵고 고통스러운 환경을 오랫동안 참고 이겨 내면 마침내 새롭고 희망찬 환경이 다가옴을 비유적으로 이르는 말.,happiness,610523,https://opendict.korean.go.kr/dictionary/view?sense_no=610523,어둠 끝의 새벽이라는 희망 비유라서
천 리 타향 고인 만나 반가워서 즐거운 일,이를 데 없이 몹시 기뻐함을 비유적으로 이르는 말. &lt;동의 속담&gt; ‘칠십 노인 구 대 독자 생남을 한 듯’ ‘동방화촉 노(老)도령이 숙녀 만나 즐거운 일’,happiness,615267,https://opendict.korean.go.kr/dictionary/view?sense_no=615267,만남의 반가움·기쁨을 노래해서
복이야 명이야 (한다),"내게 닥친 복이냐 아니면 내 운명이 그러하냐는 뜻으로, 뜻밖에 좋은 수가 나서 어쩔 줄을 모르고 기뻐하는 모양을 이르는 말.",happiness,611224,https://opendict.korean.go.kr/dictionary/view?sense_no=611224,뜻밖의 행운에 어쩔 줄 모르는 기쁨이라서
대한 끝에 양춘이 있다,어렵고 괴로운 일을 겪고 나면 즐겁고 좋은 일도 있음을 비유적으로 이르는 말.,happiness,609036,https://opendict.korean.go.kr/dictionary/view?sense_no=609036,괴로움 뒤 즐거움이 온다는 위로라서
거지는 논두렁 밑에 있어도 웃음이 있다,물질적으로는 가난하더라도 마음의 화평은 얼마든지 있을 수 있다는 말.,happiness,607272,https://opendict.korean.go.kr/dictionary/view?sense_no=607272,가난해도 마음의 화평은 가능하다는 만족의 지혜라서
부지런한 범재가 부지런하지 못한 천재보다 낫다,"부지런한 보통 사람이 부지런하지 못한 천재보다 낫다는 뜻으로, 꾸준히 노력하여 공부하면 인재가 될 수 있다는 말.",growth,611446,https://opendict.korean.go.kr/dictionary/view?sense_no=611446,꾸준한 노력이 재능을 이긴다는 성장 정석이라서
구르는 돌은 이끼가 안 낀다,부지런하고 꾸준히 노력하는 사람은 침체되지 않고 계속 발전한다는 말.,growth,607766,https://opendict.korean.go.kr/dictionary/view?sense_no=607766,부지런히 움직이는 자의 발전이라는 비유라서
걸음새 뜬 소가 천 리를 간다,"소는 비록 걸음이 뜨기는 하지만 한결같이 꾸준히 걸어가 마침내는 천 리를 간다는 뜻으로, 꾸준히 인내하면 큰 성과를 낼 수 있음을 비유적으로 이르는 말.",growth,600918,https://opendict.korean.go.kr/dictionary/view?sense_no=600918,꾸준한 인내의 성과를 보여줘서
십 년 적공이면 한 가지 성공을 한다,무슨 일이든지 오랫동안 꾸준히 노력하면 마침내는 성공하게 됨을 이르는 말.,growth,604606,https://opendict.korean.go.kr/dictionary/view?sense_no=604606,오랜 노력 끝 성공이라는 결실 메시지라서
천 리 길도 한 걸음부터,무슨 일이나 그 일의 시작이 중요하다는 말.,growth,615262,https://opendict.korean.go.kr/dictionary/view?sense_no=615262,시작의 중요성이라는 성장 첫걸음이라서
부지런한 부자는 하늘도 못 막는다,부지런하면 반드시 부자가 됨을 비유적으로 이르는 말.,growth,611447,https://opendict.korean.go.kr/dictionary/view?sense_no=611447,부지런함이 만드는 성공이라서
돈 모아 줄 생각 말고 자식 글 가르쳐라,자식을 위하는 가장 좋은 유산은 교육을 잘 시키는 일임을 강조하는 말. &lt;동의 속담&gt; ‘황금 천 냥이 자식 교육만 못하다’,growth,609128,https://opendict.korean.go.kr/dictionary/view?sense_no=609128,교육이 최고의 유산이라는 배움 강조라서
새벽달 보려고 으스름달 안 보랴,"새벽달을 보겠다고 해 질 녘에 뜨는 초저녁달을 안 보겠느냐는 뜻으로, 아직 당하지도 아니한 미래의 일만 기대하다가 눈앞의 일을 소홀히 하지 말고 지금 당장 닥친 일부터 힘써야 한다는 말.",growth,604061,https://opendict.korean.go.kr/dictionary/view?sense_no=604061,미래만 보지 말고 지금 일에 힘쓰라는 교훈이라서
하늘은 스스로 돕는 자를 돕는다,"하늘은 스스로 노력하는 사람을 성공하게 만든다는 뜻으로, 어떤 일을 이루기 위해서는 자신의 노력이 중요함을 이르는 말.",growth,616202,https://opendict.korean.go.kr/dictionary/view?sense_no=616202,자기 노력의 중요성이라는 자립 메시지라서
개미는 작아도 탑을 쌓는다,아무리 보잘것없고 힘이 없는 사람이라도 꾸준히 노력하고 정성을 들이면 훌륭한 일을 이룰 수 있다는 말.,growth,607381,https://opendict.korean.go.kr/dictionary/view?sense_no=607381,보잘것없어도 정성·노력으로 큰일을 이룬다는 비유라서
공부는 늙어 죽을 때까지 해도 다 못 한다,지식을 넓히고 수준을 높이기 위해서는 일생 동안 끊임없이 배우고 학습해야 함을 강조하여 이르는 말.,growth,601147,https://opendict.korean.go.kr/dictionary/view?sense_no=601147,평생 배움의 자세를 강조해서
무쇠도 갈면 바늘 된다,꾸준히 노력하면 어떤 어려운 일이라도 이룰 수 있다는 말.,growth,603056,https://opendict.korean.go.kr/dictionary/view?sense_no=603056,갈고닦으면 이룬다는 노력의 정석이라서
세월은 사람을 기다려 주지 않는다,무슨 일을 하든지 시간을 아껴서 부지런히 힘써야지 꾸물거리다가는 하여야 할 일을 못 하고 만다는 말.,growth,604164,https://opendict.korean.go.kr/dictionary/view?sense_no=604164,시간의 소중함이라는 성장 전제라서
쇠붙이도 늘 닦지 않으면 빛을 잃는다,비록 능력 있고 훌륭한 사람이라고 할지라도 꾸준히 배우고 수양을 쌓지 않으면 뒤떨어지고 잘못될 수 있음을 비유적으로 이르는 말.,growth,612063,https://opendict.korean.go.kr/dictionary/view?sense_no=612063,꾸준한 배움·수양을 쌓아야 뒤떨어지지 않아서
병 만나기는 쉬워도 병 고치기는 힘들다,"병에 걸리기는 쉬워도 일단 걸린 병을 고쳐서 건강을 회복하기는 힘이 든다는 뜻으로, 일단 잘못된 길에 들어서면 거기에서 헤어나기가 어려움을 비유적으로 이르는 말.",health,611169,https://opendict.korean.go.kr/dictionary/view?sense_no=611169,예방의 중요성이라는 건강 정석이라서
밥 한 알이 귀신 열을 쫓는다,귀신이 붙은 듯이 몸이 쇠약해졌을 때라도 충분히 먹고 제 몸을 돌보는 것이 건강을 회복하는 가장 빠른 길임을 비유적으로 이르는 말. &lt;동의 속담&gt; ‘고기 한 점이 귀신 천 머리를 쫓는다’,health,611085,https://opendict.korean.go.kr/dictionary/view?sense_no=611085,잘 먹는 것이 회복의 기본이라는 교훈이라서
병들어야 설움을 안다,"제 몸에 병이 나야 병난 사람의 설움을 안다는 뜻으로, 직접 경험하지 않고는 그 설움을 모름을 비유적으로 이르는 말.",health,603449,https://opendict.korean.go.kr/dictionary/view?sense_no=603449,직접 겪어야 아는 몸의 소중함이라서
병 자랑은 하여라,병이 들었을 때는 자기가 앓고 있는 병을 자꾸 이 사람 저 사람에게 말하여 고칠 길을 물어보아야 좋은 치료 방법을 찾을 수 있다는 말.,health,611170,https://opendict.korean.go.kr/dictionary/view?sense_no=611170,아프면 알리고 치료법을 찾으라는 실용 조언이라서
삼정승 부러워 말고 내 한 몸 튼튼히 가지라,권세나 권세 있는 사람들의 도움에 헛된 욕심을 두지 말고 제 몸의 건강이나 바른 행실을 위해 힘쓰라는 말. &lt;동의 속담&gt; ‘삼정승을 사귀지 말고 내 한 몸을 조심하라’ ‘정승 판서 사귀지 말고 제 입이나 잘 닦아라’,health,604103,https://opendict.korean.go.kr/dictionary/view?sense_no=604103,권세 욕심 대신 건강·바른 행실을 택하라는 메시지라서
어린아이 병엔 에미만 한 의사 없다,앓는 아이에 대한 어머니 정성은 아무리 이름난 의사의 의술도 당할 수 없을 만큼 극진하고 신통함을 이르는 말.,health,613497,https://opendict.korean.go.kr/dictionary/view?sense_no=613497,극진한 돌봄의 힘을 보여줘서
콧구멍 둘 마련하기가 다행이라,"다행히도 콧구멍이 둘이 있어 호흡이 막히지 아니하고 숨을 쉴 수 있다는 뜻으로, 몹시 답답하거나 기가 참을 해학적으로 이르는 말. &lt;동의 속담&gt; ‘콧구멍이 둘이니 숨을 쉬지’",health,615581,https://opendict.korean.go.kr/dictionary/view?sense_no=615581,숨 쉬는 평범함의 소중함을 유머로 일깨워서
밥이 약보다 낫다,"병에는 약이 좋지만 밥은 그보다 더 좋다는 뜻으로, 아무리 약이 좋다고 하더라도 건강에는 밥을 잘 먹는 것이 우선이자 기본이라 이르는 말.",health,611096,https://opendict.korean.go.kr/dictionary/view?sense_no=611096,잘 먹는 것이 약보다 우선이라는 기본기라서
긴병에 효자 없다,무슨 일이거나 너무 오래 끌면 그 일에 대한 성의가 없어서 소홀해짐을 비유적으로 이르는 말. &lt;동의 속담&gt; ‘장병에 효자 없다’,health,601496,https://opendict.korean.go.kr/dictionary/view?sense_no=601496,간병의 현실을 일깨워 건강 관리의 동기로 삼아서
병은 사람을 못 잡아도 약은 사람을 잡는다,"병에 걸린다고 다 죽는 것은 아니나 약은 한번 잘못 쓰면 사람을 죽일 수도 있다는 뜻으로, 약을 병에 맞게 써야지 잘못 쓰면 돌이킬 수 없는 불행을 당할 수 있음을 이르는 말.",health,611174,https://opendict.korean.go.kr/dictionary/view?sense_no=611174,약은 병에 맞게 써야 한다는 복약 신중론이라서
의사가 제 병 못 고친다,자기가 자신에 관한 일을 좋게 해결하기는 어려운 일이어서 남의 손을 빌려야만 이루기 쉬움을 비유적으로 이르는 말. &lt;동의 속담&gt; ‘중이 제 머리를 못 깎는다’,health,613873,https://opendict.korean.go.kr/dictionary/view?sense_no=613873,자기 일은 남의 손을 빌리라는 도움 요청의 지혜라서
고약으로는 속병을 고치지 못한다,"겉에 바르는 고약으로는 몸 안의 속병을 고칠 수 없다는 뜻으로, 알맞은 대책이 아니고서는 일을 성사시킬 수 없음을 이르는 말.",health,601043,https://opendict.korean.go.kr/dictionary/view?sense_no=601043,알맞은 대책이 필요하다는 치료 원칙이라서
늙은이에게는 밥이 막대라,"늙은이에게는 밥이 몸을 의지해 주는 막대와 같다는 뜻으로, 늙은이는 무엇보다도 잘 먹어야 몸을 지탱하며 살아갈 수 있음을 비유적으로 이르는 말.",health,602063,https://opendict.korean.go.kr/dictionary/view?sense_no=602063,잘 먹는 것이 노년의 지팡이라는 교훈이라서
지는 게 이기는 거다,맞설 형편이 못 되는 아주 수준이 어린 상대한테 옥신각신 시비를 가리기보다 아량 있고 너그럽게 대하면서 양보하는 것이 도덕적으로 승리하는 것임을 이르는 말.,peace,606076,https://opendict.korean.go.kr/dictionary/view?sense_no=606076,양보가 도덕적 승리라는 다툼 내려놓기라서
기는 놈 위에 나는 놈이 있다,"아무리 재주가 뛰어나다 하더라도 그보다 더 뛰어난 사람이 있다는 뜻으로, 스스로 뽐내는 사람을 경계하여 이르는 말. &lt;동의 속담&gt; ‘뛰는 놈 위에 나는 놈 있다’ ‘나는 놈 위에 타는 놈 있다’ ‘뛰는 놈이 있으면 나는 놈이 있다’ ‘치 위에 치가 있다’",peace,608197,https://opendict.korean.go.kr/dictionary/view?sense_no=608197,뽐내지 말고 겸손하라는 경계라서
산토끼를 잡으려다가 집토끼를 놓친다,"산토끼를 잡겠다고 욕심을 부리던 나머지 집토끼를 잘못 간수한 탓으로 잃어버리게 되었다는 뜻으로, 지나치게 욕심을 부리다가 이미 차지한 것까지 잃어버리게 됨을 비유적으로 이르는 말. &lt;동의 속담&gt; ‘산돼지를 잡으려다가 집돼지까지 잃는다’ ‘가는 토끼 잡으려다 잡은 토끼 놓친다’",peace,611454,https://opendict.korean.go.kr/dictionary/view?sense_no=611454,지나친 욕심이 가진 것까지 잃게 한다는 교훈이라서
재산이 늘수록 욕심도 는다,재물에 대한 욕심은 재물이 많아질수록 더함을 이르는 말.,peace,614219,https://opendict.korean.go.kr/dictionary/view?sense_no=614219,탐욕의 무한 증식을 경고해서
만사가 욕심대로라면 하늘에다 집도 짓겠다,무슨 일이나 욕심대로만 되지는 아니한다는 말.,peace,602738,https://opendict.korean.go.kr/dictionary/view?sense_no=602738,욕심대로 되지 않는 세상 이치를 받아들이게 해서
허욕에 들뜨면 한 치 앞도 못 본다,헛된 욕심에 들뜨게 되면 사리를 제대로 판단할 수 없게 된다는 말. &lt;동의 속담&gt; ‘허욕에 들뜨면 눈앞이 어둡다’,peace,606841,https://opendict.korean.go.kr/dictionary/view?sense_no=606841,헛된 욕망이 눈을 가린다는 경고라서
바다는 메워도 사람의 욕심은 못 채운다,"아무리 넓고 깊은 바다라도 메울 수는 있지만, 사람의 욕심은 끝이 없어 메울 수 없다는 뜻으로, 사람의 욕심이 한이 없음을 비유적으로 이르는 말. &lt;동의 속담&gt; ‘되면 더 되고 싶다’",peace,610861,https://opendict.korean.go.kr/dictionary/view?sense_no=610861,끝없는 욕심의 본질을 꿰뚫어서
귀신도 빌면 듣는다,"귀신도 빌면 소원을 들어준다는 뜻으로, 누구나 자기에게 비는 자는 용서함을 비유적으로 이르는 말.",peace,607886,https://opendict.korean.go.kr/dictionary/view?sense_no=607886,비는 자를 용서한다는 관용 메시지라서
숙인 머리는 베지 않는다,"항복하는 사람의 머리는 베지 않는다는 뜻으로, 잘못을 진실로 뉘우치는 사람은 관대히 용서함을 비유적으로 이르는 말.",peace,604375,https://opendict.korean.go.kr/dictionary/view?sense_no=604375,고개 숙인 자를 해치지 않는 관용이라서
벼슬은 높이고 뜻은 낮추어라,높은 자리에 앉게 될수록 겸손해야 한다는 말. &lt;동의 속담&gt; ‘지위가 높을수록 마음은 낮추어 먹어야’,peace,603491,https://opendict.korean.go.kr/dictionary/view?sense_no=603491,높을수록 낮아지라는 겸손의 정석이라서
김 안 나는 숭늉이 덥다,"물이 한창 끓고 있을 때면 김은 나지 않지만 가장 뜨거운 것처럼, 공연히 떠벌리는 사람보다도 가만히 침묵을 지키고 있는 사람이 더 무섭고 야무지다는 말. &lt;동의 속담&gt; ‘김 안 나는 숭늉이 더 뜨겁다’",peace,607779,https://opendict.korean.go.kr/dictionary/view?sense_no=607779,떠벌리지 않고 야무진 침묵을 기려서
남의 일에 흥야항야한다,남의 일에 공연히 간섭하고 나섬을 비유적으로 이르는 말. &lt;동의 속담&gt; ‘남의 잔치[장/제사]에 감 놓아라 배 놓아라 한다’ ‘사돈네 제사에 가서 감 놓아라 배 놓아라 한다’ ‘사돈집 잔치에 감 놓아라 배 놓아라 한다’,peace,608512,https://opendict.korean.go.kr/dictionary/view?sense_no=608512,남의 일 간섭을 경계하는 평화로운 거리두기라서
개구멍에 망건 치기,"남에게 빼앗길 것을 두려워하여 막고 있다가 막던 그 물건까지 잃는다는 뜻으로, 되지도 아니할 일을 공연히 욕심만 내어 어리석게 시작하였다가 도리어 손해나 망신을 당함을 이르는 말.",peace,600721,https://opendict.korean.go.kr/dictionary/view?sense_no=600721,헛된 욕심이 도리어 손해를 부른다는 교훈이라서
평반에 물 담은 듯,안정되고 고요한 상태를 비유적으로 이르는 말.,peace,606640,https://opendict.korean.go.kr/dictionary/view?sense_no=606640,안정되고 고요한 상태의 대표 비유라서
웃는 낯에 침 못 뱉는다,"웃는 낯으로 대하는 사람에게 침을 뱉을 수 없다는 뜻으로, 좋게 대하는 사람에게 나쁘게 대할 수 없다는 말. &lt;동의 속담&gt; ‘웃는 낯에 침 뱉으랴’",relationship,613641,https://opendict.korean.go.kr/dictionary/view?sense_no=613641,좋게 대하는 이에게 나쁘게 못 한다는 관계 원칙이라서
일가 싸움은 개싸움,일가끼리 싸우는 것은 짐승과도 같은 일임을 이르는 말.,relationship,605538,https://opendict.korean.go.kr/dictionary/view?sense_no=605538,가족끼리 싸움을 짐승 같다고 경계해 화목을 권해서
가는 떡이 커야 오는 떡이 크다,자기가 남에게 말이나 행동을 좋게 하여야 남도 자기에게 좋게 한다는 말. &lt;동의 속담&gt; ‘가는 말이 고와야 오는 말이 곱다’ ‘가는 정이 있어야 오는 정이 있다’ ‘엑 하면 떽 한다’,relationship,600486,https://opendict.korean.go.kr/dictionary/view?sense_no=600486,베풂과 보답의 주고받음이라서
부모 명 잘 받드는 사람이 나라도 잘 받든다,부모를 위하고 가족과 고향을 사랑할 줄 아는 사람이라야 나라에도 충성을 할 수 있다는 말.,relationship,611139,https://opendict.korean.go.kr/dictionary/view?sense_no=611139,가족 사랑이 공동체 사랑으로 이어진다는 메시지라서
선영 덕은 못 입어도 인심 덕은 입는다,"사람이란 조상의 덕은 입지 못해도 이웃 사람들의 고마운 덕은 입는다는 뜻으로, 죽은 조상에게 바랄 것이 아니라 이웃 간에 화목하고 서로 도와주는 의리를 지켜야 자신도 도움을 받는다는 말.",relationship,604204,https://opendict.korean.go.kr/dictionary/view?sense_no=604204,이웃 화목·상부상조가 실제 도움이라서
자식이 부모 사랑 절반만 해도 효자다,자식에 대한 부모의 사랑은 비할 수 없을 정도로 크다는 말. &lt;동의 속담&gt; ‘자식이 부모의 맘 반이면 효자 된다’,relationship,605683,https://opendict.korean.go.kr/dictionary/view?sense_no=605683,부모 사랑의 크기를 일깨워 효를 권해서
가까운 남이 먼 일가보다 낫다,"가까운 곳에 있는 남이 먼 곳에 사는 일가보다 낫다는 뜻으로, 가까운 곳에 있는 사람이 멀리 있는 사람보다 도움이 됨을 이르는 말. &lt;동의 속담&gt; ‘먼 데 일가가 가까운 이웃만 못하다’ ‘먼 사촌보다 가까운 이웃이 낫다’ ‘먼 일가와 가까운 이웃’ ‘지척의 원수가 천 리의 벗보다 낫다’",relationship,607026,https://opendict.korean.go.kr/dictionary/view?sense_no=607026,가까운 이웃의 소중함이라는 상생 메시지라서
미운 사람 고운 데 없고 고운 사람 미운 데 없다,"한번 밉게 보면 그 사람이 하는 일이 다 밉게만 보이고, 한번 좋게 보면 그 사람이 하는 일이 다 좋게만 보인다는 말. &lt;동의 속담&gt; ‘고운 사람 미운 데 없고 미운 사람 고운 데 없다’ ‘사랑하는 사람은 미움이 없고 미워하는 사람은 사랑이 없다’",relationship,610963,https://opendict.korean.go.kr/dictionary/view?sense_no=610963,보는 마음이 관계를 만든다는 통찰이라서
부모가 착해야 효자(가) 난다,"부모가 착하여야 자식도 부모를 따라 착한 사람이 된다는 뜻으로, 윗사람이 잘하여야 아랫사람도 잘함을 비유적으로 이르는 말.",relationship,611146,https://opendict.korean.go.kr/dictionary/view?sense_no=611146,윗사람의 본보기가 아랫사람을 만든다는 교훈이라서
보금자리 사랑할 줄 모르는 새는 없다,"새조차도 제 보금자리를 극진히 사랑한다는 뜻으로, 사람은 누구나 자신의 가족과 가정을 사랑하고 소중히 여겨야 함을 이르는 말.",relationship,611409,https://opendict.korean.go.kr/dictionary/view?sense_no=611409,가족·가정을 소중히 여기라는 메시지라서
오다가다 옷깃만 스쳐도 전세의 인연이다,"인간이 살면서 부딪치는 사소한 만남이라도 불가에서 말하는 전생의 인연에서 비롯된다는 뜻으로, 살면서 겪게 되는 사람들과의 만남을 소중하게 여겨야 한다는 말.",relationship,605097,https://opendict.korean.go.kr/dictionary/view?sense_no=605097,사소한 만남도 소중히 여기라는 인연 메시지라서
좋은 친구가 없는 사람은 뿌리 깊지 못한 나무와 같다,사람에게 좋은 친구가 없으면 위급한 때에 도움을 받지 못하고 잘못될 수 있으므로 좋은 친구를 많이 사귀는 것이 중요하다는 말.,relationship,606007,https://opendict.korean.go.kr/dictionary/view?sense_no=606007,좋은 친구 사귀기의 중요성이라서
이웃이 사촌보다 낫다,"가까이 사는 이웃이 먼 곳에 사는 친족보다 좋다는 뜻으로, 자주 보는 사람이 정도 많이 들고 따라서 도움을 주고받기도 쉬움을 이르는 말.",relationship,605421,https://opendict.korean.go.kr/dictionary/view?sense_no=605421,자주 보는 이웃의 정과 도움을 기려서
소나무가 무성하면 잣나무도 기뻐한다,가까운 동료나 친구 또는 자기편 사람이 잘되면 좋아한다는 말.,relationship,612016,https://opendict.korean.go.kr/dictionary/view?sense_no=612016,동료·친구의 잘됨을 기뻐하는 마음이라서
내리사랑은 있어도 치사랑은 없다,윗사람이 아랫사람을 사랑하기는 하여도 아랫사람이 윗사람을 사랑하기는 좀처럼 어렵다는 말. &lt;동의 속담&gt; ‘사랑은 내리사랑’,relationship,601753,https://opendict.korean.go.kr/dictionary/view?sense_no=601753,아래로 흐르는 부모 사랑의 본질을 짚어서
겨울이 지나지 않고 봄이 오랴,"세상일에는 다 일정한 순서가 있는 것이니, 급하다고 하여 억지로 할 수는 없음을 이르는 말.",wisdom,607250,https://opendict.korean.go.kr/dictionary/view?sense_no=607250,일에는 순서가 있어 서두른다고 안 된다는 순리의 지혜라서
넘어진 김에 쉬어 간다,뜻하지 아니하던 기회를 만나 자기가 하려고 하던 일을 이룬다는 말. &lt;동의 속담&gt; ‘엎어진 김에 쉬어 간다’,wisdom,601837,https://opendict.korean.go.kr/dictionary/view?sense_no=601837,뜻밖의 기회를 살려 일을 이루는 임기응변이라서
